candidate,readiness,estimated_effort,physics_level,master_potential_status,validation_data,recommended_role,main_risk,primary_sources
schwarzschild_rw_zerilli,A+,immediate,GR vacuum benchmark,explicit Regge-Wheeler and Zerilli potentials already in local code,high precision QNM references and qnm package cross-checks,mandatory validation anchor,no new alternative metric result,https://arxiv.org/abs/0905.2975; https://arxiv.org/abs/1908.10377
reissner_nordstrom_gravito_em,A-,short,Einstein-Maxwell charged black hole,coupled gravito-electromagnetic axial/polar master potentials known from classic literature and modern QNM work,published Leaver/WKB spectra including near-extremal behavior,clean charged benchmark before regular metrics,not a single pure-gravity Regge-Wheeler potential; astrophysical charge is weakly motivated,https://arxiv.org/abs/gr-qc/9607054; https://arxiv.org/abs/2107.09673
braneworld_tidal_charge_rn_like,A-,short,effective Randall-Sundrum brane black hole,explicit static RN-like metric and scalar/electromagnetic/gravitational perturbation potentials in paper,published 6th-order WKB tables for axial and polar gravitational modes,strongest simple non-Schwarzschild static case for the pipeline,uses simplifying assumption on projected Weyl perturbation; effective brane model not full bulk solution,https://arxiv.org/abs/1605.02058
bardeen_ned_axial,A-,implemented_and_validated,GR coupled to nonlinear electrodynamics or effective anisotropic source,asymptotically flat axial gravitational master equation implemented locally,published 3rd-order WKB tables reproduced below about 0.9 percent,first high-value popular regular-BH target now validated,source interpretation and matter perturbation must be fixed before claims; polar sector more involved,https://arxiv.org/abs/1303.3143; https://arxiv.org/abs/gr-qc/0208090; https://arxiv.org/abs/2306.02332
hayward_axial_gravitational,A-,implemented_fundamental_and_first_overtone,effective regular/asymptotic-safety-inspired static spacetime,axial gravitational potential implemented locally,published ell=2 n=0 Prony table reproduced below about 0.8 percent and ell=2 n=1 WKB-8 table reproduced below 1 percent,second regular-BH/overtone-sensitive target now validated for the fundamental mode and first overtone,first-overtone extraction uses matrix pencil and still needs Leaver/high-order WKB or a controlled multi-mode solver for final precision spectroscopy,https://arxiv.org/abs/2508.19989; https://arxiv.org/abs/2111.06488
simpson_visser_black_bounce_source_ambiguity,B-,medium,regular black hole / black-bounce with multiple matter-source interpretations,exact master equations derived for different source interpretations,published time-domain QNMs,conceptual example that same metric can give different ringdown if source is changed,very new and less directly comparable with standard black-hole-only models,https://arxiv.org/abs/2603.20594
scalarized_einstein_gauss_bonnet_static,C+,medium_to_heavy,full modified-gravity scalarized black holes,axial perturbation equations and QNM methods exist but require numerical background functions,published time-domain and eigenvalue QNMs,high-physics future target,too heavy for first module because background solutions and hyperbolicity domain must be reproduced,https://arxiv.org/abs/2003.02862
generalized_einstein_maxwell_scalar,C+,medium_to_heavy,broad theory class with NED/scalar-tensor/EMD examples,odd/even master equations derived and Mathematica notebook advertised,some QNM applications in Einstein-Maxwell-dilaton,useful theoretical umbrella for future extensions,not a single ready metric; model-by-model background and degrees of freedom must be chosen,https://arxiv.org/abs/2112.00109
abg_stvg_odd_gravitational,C,medium,scalar-tensor-vector gravity regular ABG-type black hole,odd-parity gravitational WKB spectrum reported,published 6th-order WKB results,possible later exotic regular metric test after Bardeen/Hayward,multi-parameter and theory-specific; not as clean as tidal-charge or Bardeen first,https://arxiv.org/abs/2008.04576
regular_metric_scalar_only_cases,D,avoid_for_gravitational_claim,metric/test-field level only,scalar or electromagnetic QNM/shadow/geodesic data only,no gravitational master-potential validation,negative-control examples for readiness audit,not sufficient for gravitational ringdown constraints,https://arxiv.org/abs/2104.09725; https://arxiv.org/abs/2207.06340
