candidate,readiness,audit_status,physics_level,validation_families,validation_rows,max_abs_delta_real_pct,max_abs_delta_imag_pct,recommended_role,main_risk,referee_action,primary_sources
schwarzschild_rw_zerilli,A+,validated_static_gravitational_qnm,GR vacuum benchmark,Schwarzschild,4,0.14426053665117783,0.4320903101965211,mandatory validation anchor,no new alternative metric result,"May be used as a static supplied-potential benchmark, with the non-rotating limitation explicit.",https://arxiv.org/abs/0905.2975; https://arxiv.org/abs/1908.10377
reissner_nordstrom_gravito_em,A-,ready_for_next_implementation,Einstein-Maxwell charged black hole,,0,,,clean charged benchmark before regular metrics,not a single pure-gravity Regge-Wheeler potential; astrophysical charge is weakly motivated,Good candidate for the next reproducible benchmark before any observational language.,https://arxiv.org/abs/gr-qc/9607054; https://arxiv.org/abs/2107.09673
braneworld_tidal_charge_rn_like,A-,validated_static_gravitational_qnm,effective Randall-Sundrum brane black hole,Braneworld_tidal_charge,5,0.20582712344794155,0.4538092808191997,strongest simple non-Schwarzschild static case for the pipeline,uses simplifying assumption on projected Weyl perturbation; effective brane model not full bulk solution,"May be used as a static supplied-potential benchmark, with the non-rotating limitation explicit.",https://arxiv.org/abs/1605.02058
bardeen_ned_axial,A-,validated_static_gravitational_qnm,GR coupled to nonlinear electrodynamics or effective anisotropic source,Bardeen_NED,3,0.17406174486329193,0.8728238651887131,first high-value popular regular-BH target now validated,source interpretation and matter perturbation must be fixed before claims; polar sector more involved,"May be used as a static supplied-potential benchmark, with the non-rotating limitation explicit.",https://arxiv.org/abs/1303.3143; https://arxiv.org/abs/gr-qc/0208090; https://arxiv.org/abs/2306.02332
hayward_axial_gravitational,A-,validated_static_gravitational_qnm,effective regular/asymptotic-safety-inspired static spacetime,Hayward; Hayward_overtone,13,0.9248960064594225,0.7175830567223908,second regular-BH/overtone-sensitive target now validated for the fundamental mode and first overtone,first-overtone extraction uses matrix pencil and still needs Leaver/high-order WKB or a controlled multi-mode solver for final precision spectroscopy,"May be used as a static supplied-potential benchmark, with the non-rotating limitation explicit.",https://arxiv.org/abs/2508.19989; https://arxiv.org/abs/2111.06488
simpson_visser_black_bounce_source_ambiguity,B-,source_model_caution,regular black hole / black-bounce with multiple matter-source interpretations,,0,,,conceptual example that same metric can give different ringdown if source is changed,very new and less directly comparable with standard black-hole-only models,Useful as a conceptual caution: the same metric can imply different perturbation physics.,https://arxiv.org/abs/2603.20594
scalarized_einstein_gauss_bonnet_static,C+,future_theory_specific_project,full modified-gravity scalarized black holes,,0,,,high-physics future target,too heavy for first module because background solutions and hyperbolicity domain must be reproduced,Do not fold into the current paper unless the full perturbation setup is reproduced.,https://arxiv.org/abs/2003.02862
generalized_einstein_maxwell_scalar,C+,future_theory_specific_project,broad theory class with NED/scalar-tensor/EMD examples,,0,,,useful theoretical umbrella for future extensions,not a single ready metric; model-by-model background and degrees of freedom must be chosen,Do not fold into the current paper unless the full perturbation setup is reproduced.,https://arxiv.org/abs/2112.00109
abg_stvg_odd_gravitational,C,future_theory_specific_project,scalar-tensor-vector gravity regular ABG-type black hole,,0,,,possible later exotic regular metric test after Bardeen/Hayward,multi-parameter and theory-specific; not as clean as tidal-charge or Bardeen first,Do not fold into the current paper unless the full perturbation setup is reproduced.,https://arxiv.org/abs/2008.04576
regular_metric_scalar_only_cases,D,negative_control_metric_only,metric/test-field level only,,0,,,negative-control examples for readiness audit,not sufficient for gravitational ringdown constraints,Do not promote to gravitational ringdown constraints; cite as a readiness failure or outlook item.,https://arxiv.org/abs/2104.09725; https://arxiv.org/abs/2207.06340
