candidate,status,readiness_rank,theory_or_metric,qnm_basis,modes_relevant_to_project,spin_coverage,data_form,recommended_use,main_limitation,primary_source_url
higher_derivative_kerr_cano_2024,already_implemented,A,higher-derivative EFT corrections to Kerr,modified Teukolsky / continued fractions,"l=2,3,4; m all; n=0,1,2; includes 220 and 221",accurate up to chi about 0.7-0.95 depending on mode,public repository and polynomial fits,main project baseline and publication constraints table,linearized EFT couplings only,https://arxiv.org/abs/2409.04517
dcs_metrics_2025,promising_extension,B,dynamical Chern-Simons gravity / spinning BH,full metric perturbations through METRICS,"022,033,032; no 221 overtone in abstract",a lesssim 0.75,PRD paper with optimal fitting polynomials,possible future fundamental-mode or future-event extension,does not directly match current GW250114 220+221 overtone observable set,https://arxiv.org/abs/2503.11759
dcs_slow_rotation_teukolsky_2025,promising_but_not_gw250114_ready,B-,dynamical Chern-Simons gravity,modified Teukolsky slow-rotation equations,"QNM shifts including overtones; exact mode list requires table extraction",leading order in spin,arXiv paper with 5 tables,appendix theory comparison after table extraction,slow-rotation approximation is weak for chi about 0.68,https://arxiv.org/abs/2503.15606
edgb_second_order_rotation_2022,promising_but_incomplete,B-,Einstein-dilaton-Gauss-Bonnet gravity,gravitational perturbations to second order in spin,"rotating gravitational QNMs; likely fundamental-focused",claims useful up to spins about 0.7,tables in paper,possible appendix/future extension,missing obvious 221 overtone data for current two-mode projection,https://arxiv.org/abs/2207.11267
egbd_rapid_rotation_nonpert_2024,promising_but_incomplete,B-,Einstein-Gauss-Bonnet-dilaton gravity,full non-perturbative rotating metric+scalar perturbations,"fundamental l=2-led and l=3-led with Mz=2",rapid rotation including j=0.6 examples,figures / article data not obviously machine-readable,important literature discussion and possible future contact-data extension,no 221 overtone and no simple public fit found,https://arxiv.org/abs/2407.20760
egbd_rotating_spectrum_method_2024,promising_supporting_reference,B-,Einstein-Gauss-Bonnet-dilaton gravity,spectral PDE perturbation method for rotating backgrounds,"fundamental rotating spectrum; method in principle extends beyond shown modes",rapid rotation,method paper and figures,supporting reference for EGBd future extraction,does not by itself provide a current 220+221 machine-readable fit,https://arxiv.org/abs/2412.17073
ss_esgb_rapid_rotation_2024,promising_but_incomplete,B-,shift-symmetric Einstein-scalar-Gauss-Bonnet gravity,spectral method for rapid rotation,"rotating QNM spectrum; fundamental spectrum emphasis",full domain of rotating BH existence,article figures / appendix,important literature discussion and possible future contact-data extension,no 221 overtone and no direct machine-readable fit found,https://arxiv.org/abs/2412.09377
kerr_cubic_eft_overtone_excitation_2024,method_reference_not_current_event,C,higher-derivative cubic-curvature EFT around nonrotating BH,first-principles nonrotating QNM overtones and excitation factors,nonrotating overtone spectrum,static only,paper-level method and tables/background,methodological support for overtone sensitivity beyond GR,not applicable to GW250114 rotating remnant without rotating extension,https://arxiv.org/abs/2404.11110
kerr_newman_analytic_overtone_2021,appendix_only,C+,Kerr-Newman charged black hole / Einstein-Maxwell,modified geodesic correspondence waveform model,"fundamental and overtone QNMs in analytic ringdown model",rotating charged BH,analytic approximation,possible illustrative appendix or sanity check,not rigorous enough for main constraints and astrophysical charge is weakly motivated,https://arxiv.org/abs/2104.07594
kerr_newman_exact_numeric_2021_2022,appendix_or_future,C,Kerr-Newman charged black hole,gravito-electromagnetic perturbations,"fundamental modes; slow-rotation or selected full parameter coverage",slow rotation or full parameter space for slowest fundamental families,numerical spectra in papers,background/reference only for current manuscript,no direct 221 overtone fit at chi about 0.68 found,https://arxiv.org/abs/2109.13949
rotating_regular_bardeen_hayward_eikonal,not_for_main,D,rotating regular Bardeen/Hayward metrics,eikonal QNM-shadow/geodesic correspondence,eikonal modes only,rotating metrics,analytic/geodesic correspondence,do not use for GW250114 ringdown constraints,not gravitational perturbation spectrum for observed 220/221 modes,https://arxiv.org/abs/2404.07589
static_regular_hayward_2025,not_for_main_current_event,D+,Hayward static regular black hole,axial gravitational perturbations,"fundamental and first overtone",nonrotating only,tables/approximations in paper,possible methodological appendix for static metrics,not applicable to chi about 0.68 remnant,https://arxiv.org/abs/2508.19989
rg_improved_dymnikova_regular_2023,not_for_main_current_event,D+,renormalization-group-improved Dymnikova regular black hole,Leaver-method QNM calculation for a regular nonrational metric,overtones emphasized,nonrotating only,paper-level spectra/method,possible exotic static benchmark after perturbation-sector check,not applicable to rotating GW250114 remnant and not promoted to main ringdown constraints,https://arxiv.org/abs/2303.01987
braneworld_tidal_charge_static_2016,not_for_main_current_event,D,Randall-Sundrum tidal-charge RN-like BH,scalar/EM/gravitational perturbations,static axial/polar gravitational modes,nonrotating only,WKB / eikonal calculations,background only,not applicable to rotating GW250114 remnant and no 221 rotating data,https://arxiv.org/abs/1605.02058
johannsen_krz_bardeen_metric_only,reject_for_ringdown,E,parametric or regular rotating metrics,geodesic / QPO / shadow diagnostics,no rigorous gravitational 220/221 perturbation spectrum found,rotating metric exists,metric formulas only,use in QPO/geodesic branch only,metric alone is insufficient for ringdown constraints,
